,cluster_id,size,avg_intra_cluster_pairwise_distance,avg_intra_cluster_variance,avg_silhouette_score,avg_inter_centroid_distance,model,task
1117,F.White.Structured.Interview,130,0.4310836384564681,0.3006071464074662,0.04156036970108729,0.31129452422363774,Llama-3.1-8B-Instruct,bio
1118,F.White.Structured.Third Person,200,0.38383752587571546,0.26905153412868044,0.01809107781372849,0.3186998735816891,Llama-3.1-8B-Instruct,bio
1119,M.Asian.Explicit.Direct,200,0.45470539830388734,0.32133387960287263,-0.0147086416377453,0.3080583648915967,Llama-3.1-8B-Instruct,bio
1120,M.Asian.Explicit.Interview,153,0.5112900464763063,0.3633285896581895,-0.0864639327662989,0.28415056444352554,Llama-3.1-8B-Instruct,bio
1121,M.Asian.Explicit.Third Person,200,0.44835527029420824,0.31777344812639347,0.004484937168263534,0.31870837767492133,Llama-3.1-8B-Instruct,bio
1122,M.Asian.Name.Direct,200,0.44964693965614616,0.3177435586629014,-0.050458706414481046,0.2779817565896436,Llama-3.1-8B-Instruct,bio
1123,M.Asian.Name.Interview,188,0.4298846807998507,0.3055391262056375,-0.008577178441483625,0.3573427713556416,Llama-3.1-8B-Instruct,bio
1124,M.Asian.Name.Third Person,200,0.4548432709627403,0.32067807861798514,-0.05833097286605847,0.2754269345222718,Llama-3.1-8B-Instruct,bio
1125,M.Asian.Structured.Direct,200,0.4483915953901234,0.3165006525617591,-0.00646896711075533,0.30302531986272047,Llama-3.1-8B-Instruct,bio
1126,M.Asian.Structured.Interview,146,0.48964653153360244,0.34645092670796174,-0.06395042180942137,0.3083332843761665,Llama-3.1-8B-Instruct,bio
1127,M.Asian.Structured.Third Person,200,0.47150765373306863,0.3338968226175318,-0.055247534934923334,0.29412549235858737,Llama-3.1-8B-Instruct,bio
1128,M.Black.Explicit.Direct,200,0.5104034657683689,0.36077570268478526,-0.05591286435816901,0.26523292280633254,Llama-3.1-8B-Instruct,bio
1129,M.Black.Explicit.Interview,116,0.5246237532862734,0.3715295831376453,-0.1001560975517869,0.2755393133609238,Llama-3.1-8B-Instruct,bio
1130,M.Black.Explicit.Third Person,200,0.5150211295164829,0.364092640259721,-0.052750675310287744,0.26639244589756944,Llama-3.1-8B-Instruct,bio
1131,M.Black.Name.Direct,200,0.482500911442413,0.3410309786375778,-0.0625659383832601,0.25565680786539957,Llama-3.1-8B-Instruct,bio
1132,M.Black.Name.Interview,174,0.4898246469977092,0.34680038491862136,-0.08175241240132546,0.31777378872469914,Llama-3.1-8B-Instruct,bio
