Role Adoption,Demographic Priming,gender,race,prompt_version,model,task,% English,% Non-\nEnglish,is Hispanic
Direct,Explicit,M,Hispanic,v2,OLMo-2-0325-32B-Instruct,SD,0.0,1.0,Hispanic
Direct,Explicit,M,Hispanic,v2,OLMo-2-1124-7B-Instruct,Bio,0.5,0.5,Hispanic
Direct,Explicit,M,Hispanic,v2,OLMo-2-1124-7B-Instruct,SD,0.22,0.78,Hispanic
Direct,Explicit,M,Hispanic,v2,gemma-3-27b-it,Bio,0.96,0.040000000000000036,Hispanic
Direct,Explicit,M,Hispanic,v2,gemma-3-27b-it,SD,0.64,0.36,Hispanic
Direct,Explicit,M,Middle-Eastern,v1,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,OLMo-2-0325-32B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,OLMo-2-1124-7B-Instruct,Bio,0.97,0.030000000000000027,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v1,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,Llama-3.1-8B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,OLMo-2-0325-32B-Instruct,Bio,0.93,0.06999999999999995,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,OLMo-2-0325-32B-Instruct,SD,0.09,0.91,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,OLMo-2-1124-7B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Middle-Eastern,v2,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,OLMo-2-0325-32B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,OLMo-2-1124-7B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v1,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,OLMo-2-0325-32B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,OLMo-2-1124-7B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,White,v2,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,White,v2,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Asian,v1,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Asian,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Asian,v1,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Asian,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Asian,v1,OLMo-2-0325-32B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Asian,v1,OLMo-2-0325-32B-Instruct,SD,0.99,0.010000000000000009,Non-Hispanic
